Categoria,Correspondência,Palavra-chave
Carreira/educação,Ampla,emprego
Carreira/educação,Ampla,vaga
Carreira/educação,Frase,"vagas de emprego"
Carreira/educação,Ampla,curso
Carreira/educação,Ampla,concurso
Carreira/educação,Ampla,apostila
Investimentos,Ampla,investimento
Investimentos,Ampla,ações
Investimentos,Frase,"bolsa de valores"
Investimentos,Ampla,criptomoeda
Investimentos,Ampla,bitcoin
Investimentos,Frase,"day trade"
Crédito/empréstimo,Ampla,empréstimo
Crédito/empréstimo,Ampla,financiamento
Crédito/empréstimo,Frase,"crédito consignado"
Crédito/empréstimo,Frase,"score de crédito"
Crédito/empréstimo,Frase,"cartão de crédito"
Corporativo/fiscal,Frase,"contabilidade empresarial"
Corporativo/fiscal,Frase,"nota fiscal"
Corporativo/fiscal,Frase,"imposto de renda"
Corporativo/fiscal,Ampla,MEI
Corporativo/fiscal,Ampla,CNPJ
Apps piratas,Ampla,apk
Apps piratas,Frase,"download apk"
Apps piratas,Ampla,crackeado
Irrelevante,Frase,"reclame aqui"
Irrelevante,Frase,"trabalhe conosco"
